sub_category_key,sub_category_name,category_key
1,Business Analytics & Intelligence,1
2,Project Management,1
3,Data Science,2
4,Database Design & Development,2
5,Game Development,2
6,Programming Languages,2
7,Web Development,2
8,IT Certifications,3
9,Statistics,4
10,Personal Development,5
